,Unnamed: 0,Unnamed: 0.1,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
93,160782,540569,LTE,440,51,47690,264773892,0,133.88692166666667,34.64400699999999,1000,11,1,1458920771,1471510368,0
94,160783,540570,LTE,440,51,47690,264838913,0,133.8909075,34.64400699999999,1000,24,1,1458920771,1485495166,0
95,160786,540573,LTE,440,51,47690,102575874,0,133.89489333333333,34.64400699999999,1000,24,1,1458920771,1492168220,0
96,160787,540574,LTE,440,51,47690,264773889,0,133.89887916666666,34.64400699999999,1000,17,1,1458920771,1473320401,0
97,160790,540577,LTE,440,51,47690,264775682,0,133.902865,34.64400699999999,1000,10,1,1458920771,1488431824,0
98,160961,540748,LTE,440,51,47681,101638914,0,133.90685083333332,34.64400699999999,1000,60,1,1458920767,1492420456,0
99,160965,540752,LTE,440,51,47681,102918915,0,133.91083666666665,34.64400699999999,1000,11,1,1458920767,1487334009,0
100,160975,540762,LTE,440,51,47681,102916867,0,133.91482249999999,34.64400699999999,1000,27,1,1458920767,1488266090,0
101,161043,540830,LTE,440,51,47689,101291521,0,133.91880833333332,34.64400699999999,1000,23,1,1458920770,1492168195,0
102,161052,540839,LTE,440,51,47690,101636353,0,133.92279416666665,34.64400699999999,1000,93,1,1458920771,1492420451,0
103,161057,540844,LTE,440,51,47690,101638147,0,133.92677999999998,34.64400699999999,1000,10,1,1458920771,1469048523,0
104,161058,540845,LTE,440,51,47689,102571523,0,133.87895,34.64568199999999,1000,49,1,1458920770,1492219023,0
105,161060,540847,LTE,440,51,47689,264784385,0,133.88293583333333,34.64568199999999,1000,18,1,1458920771,1490683651,0
106,161063,540850,LTE,440,51,47690,102464001,0,133.88692166666667,34.64568199999999,1000,25,1,1458920771,1492168195,0
107,161066,540853,LTE,440,51,47690,102471169,0,133.8909075,34.64568199999999,1000,11,1,1458920771,1482626153,0
108,161069,540856,LTE,440,51,47689,264789762,0,133.89489333333333,34.64568199999999,1000,6,1,1458920771,1487578255,0
109,161071,540858,LTE,440,51,47690,264770306,0,133.89887916666666,34.64568199999999,1000,5,1,1458920771,1485495177,0
110,161072,540859,LTE,440,51,47690,264767232,0,133.902865,34.64568199999999,1000,26,1,1458920771,1492168195,0
111,161073,540860,LTE,440,51,47690,102781953,0,133.90685083333332,34.64568199999999,1000,32,1,1458920771,1492168220,0
112,161074,540861,LTE,440,51,47690,264770049,0,133.91083666666665,34.64568199999999,1000,8,1,1458920771,1485326517,0
113,161075,540862,LTE,440,51,47690,102575873,0,133.91482249999999,34.64568199999999,1000,41,1,1458920771,1488431824,0
114,161077,540864,LTE,440,51,47690,102916355,0,133.91880833333332,34.64568199999999,1000,24,1,1458920771,1491370650,0
115,161078,540865,LTE,440,51,47690,105229313,0,133.92279416666665,34.64568199999999,1000,55,1,1458920771,1492420456,0
116,161080,540867,LTE,440,51,47690,264794881,0,133.92677999999998,34.64568199999999,1000,16,1,1458920771,1492089270,0
117,161082,540869,LTE,440,51,47690,264767236,0,133.87895,34.647356999999985,1000,11,1,1458920771,1491370650,0
118,161083,540870,LTE,440,51,47690,104122370,0,133.88293583333333,34.647356999999985,1000,260,1,1458920771,1492420456,0
119,161085,540872,LTE,440,51,47690,264796930,0,133.88692166666667,34.647356999999985,1000,6,1,1458920771,1481782738,0
120,161086,540873,LTE,440,51,47690,264838914,0,133.8909075,34.647356999999985,1000,10,1,1458920771,1474031363,0
121,161213,541000,LTE,440,51,47681,101636867,0,133.89489333333333,34.647356999999985,1000,40,1,1458920767,1492219023,0
122,161310,541097,LTE,440,51,47689,102921218,0,133.89887916666666,34.647356999999985,1000,52,1,1458920770,1486445403,0
123,161316,541103,LTE,440,51,47689,102571522,0,133.902865,34.647356999999985,1000,13,1,1458920770,1492219023,0
124,161319,541106,LTE,440,51,47690,101636355,0,133.90685083333332,34.647356999999985,1000,19,1,1458920771,1490856054,0
125,161320,541107,LTE,440,51,47689,102918402,0,133.91083666666665,34.647356999999985,1000,13,1,1458920770,1492219023,0
126,161321,541108,LTE,440,51,47689,105373952,0,133.91482249999999,34.647356999999985,1000,9,1,1458920771,1490683681,0
127,161324,541111,LTE,440,51,47690,101639171,0,133.91880833333332,34.647356999999985,1000,21,1,1458920771,1492420435,0
128,161328,541115,LTE,440,51,47690,264796929,0,133.92279416666665,34.647356999999985,1000,28,1,1458920771,1490683681,0
129,161329,541116,LTE,440,51,47690,102916353,0,133.92677999999998,34.647356999999985,1000,28,1,1458920771,1489038227,0
130,161330,541117,LTE,440,51,47690,264773888,0,133.87895,34.649031999999984,1000,33,1,1458920771,1487828734,0
131,161333,541120,LTE,440,51,47690,264794113,0,133.88293583333333,34.649031999999984,1000,34,1,1458920771,1489556605,0
132,161337,541124,LTE,440,51,47690,103821825,0,133.88692166666667,34.649031999999984,1000,23,1,1458920771,1484349379,0
133,161339,541126,LTE,440,51,47690,103821826,0,133.8909075,34.649031999999984,1000,4,1,1458920771,1480684798,0
134,161341,541128,LTE,440,51,47690,264777217,0,133.89489333333333,34.649031999999984,1000,43,1,1458920771,1492168195,0
135,161597,541384,LTE,440,51,47689,101638402,0,133.89887916666666,34.649031999999984,1000,2,1,1458920770,1488349605,0
136,161612,541399,LTE,440,51,47690,101295874,0,133.902865,34.649031999999984,1000,29,1,1458920771,1492420456,0
137,161614,541401,LTE,440,51,47690,101639169,0,133.90685083333332,34.649031999999984,1000,41,1,1458920771,1492168200,0
138,161615,541402,LTE,440,51,47690,102471171,0,133.91083666666665,34.649031999999984,1000,8,1,1458920771,1486445403,0
139,161617,541404,LTE,440,51,47690,101637891,0,133.91482249999999,34.649031999999984,1000,82,1,1458920771,1492420456,0
140,161620,541407,LTE,440,51,47690,102781954,0,133.91880833333332,34.649031999999984,1000,34,1,1458920771,1488431824,0
141,161622,541409,LTE,440,51,47690,104122371,0,133.92279416666665,34.649031999999984,1000,17,1,1458920771,1485586241,0
142,161625,541412,LTE,440,51,47690,103544579,0,133.92677999999998,34.649031999999984,1000,16,1,1458920771,1492168220,0
143,161626,541413,LTE,440,51,47690,264773633,0,133.87895,34.65070699999998,1000,40,1,1458920771,1489738193,0
