,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
775601,950594,LTE,440,10,25097,125492996,0,133.92951965332,34.659805297852,1000,1,1,1472463688,1472463688,0
793617,972379,LTE,440,10,25097,125324065,0,133.911667,34.65683,1000,6,1,1473580981,1489086534,0
797383,977104,LTE,440,50,47681,102490882,0,133.917503,34.658432,1000,4,1,1473818319,1480318228,0
831999,1018775,LTE,440,50,47681,102916866,0,133.92265319824,34.651565551758,1000,1,1,1476006742,1476006742,0
832004,1018783,LTE,440,50,47690,102376194,0,133.92265319824,34.651565551758,1000,1,1,1476006742,1476006742,0
967867,1186911,LTE,440,51,47681,264774149,0,133.916473,34.658432,1000,2,1,1487727750,1488431818,0
984987,1208546,LTE,440,10,25097,120493057,0,133.92402648926,34.65705871582,1000,2,1,1489085143,1490936183,0
984990,1208549,LTE,440,10,25097,120227602,0,133.91922,34.659805,1000,2,1,1489085141,1492108192,0
984991,1208550,LTE,440,10,25097,120493056,0,133.926221,34.656595,1000,6,1,1489085143,1505877556,0
985679,1209413,LTE,440,10,25097,120493088,0,133.926717,34.656275,1000,9,1,1489151655,1505877567,0
985680,1209414,LTE,440,10,25097,124986112,0,133.92677307129,34.654312133789,1000,1,1,1489129870,1489129870,0
990329,1215395,UMTS,440,10,23809,191283526,0,133.91304016113,34.651565551758,1000,1,1,1489456622,1489456622,0
990331,1215425,UMTS,440,10,23809,191267182,0,133.91304016113,34.654312133789,1000,1,1,1489456622,1489456622,0
990334,1215430,UMTS,440,10,23809,191283406,0,133.91441345215,34.654312133789,1000,2,1,1489481264,1490303425,0
991538,1217084,LTE,440,10,25097,120493089,0,133.92402648926,34.65705871582,1000,2,1,1489592901,1491840309,0
1007124,1236051,LTE,440,10,25097,120493090,0,133.911926,34.654358,1000,2,1,1490642698,1505881685,0
1007126,1236053,LTE,440,50,47690,101191683,0,133.92539978027,34.651565551758,1000,1,1,1490609354,1490609354,0
1007133,1236066,LTE,440,50,47690,101191681,0,133.92677307129,34.654312133789,1000,1,1,1490609354,1490609354,0
1011649,1241734,LTE,440,10,25097,120493059,0,133.91304016113,34.658432006836,1000,1,1,1491032650,1491032650,0
1012660,1243182,LTE,440,10,25097,120493072,0,133.926086,34.655685,1000,2,1,1491138379,1491973007,0
1016125,1247413,LTE,440,10,25097,120493075,0,133.91098,34.657059000000004,1000,2,1,1491431042,1491571713,0
1022172,1255320,LTE,440,10,25097,120493073,0,133.92265319824,34.655685424805,1000,1,1,1491973007,1491973007,0
1026143,1260324,LTE,440,50,47681,264788226,0,133.92265319824,34.659805297852,1000,1,1,1492325846,1492325846,0
