,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
160679,540466,LTE,440,51,47681,264788225,0,133.925355,34.659805,1000,31,1,1458920768,1492168200,0
160684,540471,LTE,440,51,47681,104114178,0,133.90892028808997,34.663925170898,1000,2,1,1458920767,1479964826,0
160686,540473,LTE,440,51,47681,264765443,0,133.92265319824,34.669418334961,1000,1,1,1453161503,1453161503,0
160969,540756,LTE,440,51,47681,101637377,0,133.91441345215,34.663925170898,1000,67,1,1458920767,1490255047,0
160971,540758,LTE,440,51,47681,103571201,0,133.92168,34.665298,1000,24,1,1458920767,1492420451,0
160973,540760,LTE,440,51,47681,101637633,0,133.919503,34.670792,1000,17,1,1458920767,1492089265,0
160976,540763,LTE,440,51,47681,101184770,0,133.92265319824,34.665298461914,1000,75,1,1458920767,1492168220,0
160977,540764,LTE,440,51,47681,102490881,0,133.919759,34.661179,1000,28,1,1458920767,1492089270,0
160984,540771,LTE,440,51,47681,264774144,0,133.92414399999998,34.657137,1000,35,1,1458920768,1489556599,0
160990,540777,LTE,440,51,47681,264765440,0,133.925858,34.66713,1000,3,1,1458920768,1480320610,0
